 Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Channel Islands,"6,439,703,434.70","6,232,906,290.50","6,663,669,064.70","7,332,244,898.00","8,553,643,354.10","8,827,272,727.30","9,676,172,953.10","11,514,605,842.30",,,,,,,,
Chile,"77,860,932,151.80","70,979,923,960.40","69,736,811,435.10","75,643,459,839.60","99,210,392,857.60","122,964,812,046.10","154,788,024,805.80","173,605,968,179.30","179,638,496,278.60","172,389,498,444.60","218,537,551,220.10","252,251,992,029.40","267,122,320,056.70","278,384,332,694.40","260,990,299,051.20","242,517,905,161.70"
China,"1,211,346,395,438.70","1,339,395,440,432.00","1,470,549,716,080.70","1,660,287,543,796.10","1,955,347,477,285.90","2,285,965,854,313.40","2,752,132,089,196.60","3,552,182,714,426.60","4,598,205,419,718.80","5,109,954,035,776.00","6,100,620,356,557.30","7,572,554,360,442.60","8,560,546,868,811.70","9,607,224,248,684.60","10,482,371,325,324.70","11,064,664,793,255.70"
Colombia,"99,886,577,330.70","98,203,546,156.30","97,933,391,976.10","94,684,584,162.80","117,074,863,821.90","146,566,264,837.00","162,590,146,096.40","207,416,494,642.40","243,982,437,870.80","233,821,670,544.30","287,018,184,637.50","335,415,156,702.20","369,659,700,375.50","380,191,881,860.40","378,195,716,714.30","291,519,591,533.00"
Comoros,"203,846,427.70","220,093,812.20","246,737,679.50","317,562,269.40","368,143,118.70","380,372,892.60","406,111,873.50","462,453,582.90","523,134,897.00","524,157,261.00","530,493,353.20","586,281,766.80","570,865,941.20","618,663,921.90","647,720,707.10","565,689,764.60"
"Congo, Dem. Rep.","19,088,046,305.80","7,438,189,100.30","8,728,038,525.10","8,937,567,059.90","10,297,483,481.20","11,964,484,667.90","14,296,507,096.40","16,364,029,327.30","19,206,060,270.30","18,262,773,820.80","20,523,285,374.20","23,849,009,737.70","27,463,220,380.00","30,014,813,755.80","34,028,119,332.60","36,188,521,106.90"
"Congo, Rep.","3,219,910,666.00","2,794,259,783.10","3,019,993,738.80","3,495,868,808.10","4,648,628,921.40","6,087,003,176.10","7,731,261,310.90","8,394,688,284.10","11,859,014,004.10","9,593,536,531.20","12,007,880,590.50","14,425,607,224.20","13,677,930,123.60","14,085,852,120.50","14,177,437,627.30","8,553,154,505.80"
Costa Rica,"14,949,514,585.20","15,913,363,335.10","16,504,795,453.30","17,195,867,540.40","18,529,767,934.50","19,952,156,474.80","22,600,431,878.00","26,743,874,286.90","30,612,932,802.90","30,562,361,123.00","37,268,635,287.10","42,262,697,840.40","46,473,128,285.60","49,745,088,111.70","50,656,002,895.90","54,840,103,850.30"
Cote d'Ivoire,"10,717,022,462.70","11,192,560,827.30","12,346,919,216.10","15,306,602,560.30","16,554,441,846.50","17,084,928,927.50","17,800,887,796.50","20,343,635,319.60","24,224,903,099.60","24,277,493,862.10","24,884,505,034.60","25,381,616,734.10","27,040,562,587.20","31,273,049,200.20","35,372,603,446.30","32,828,516,580.30"
Croatia,"21,774,273,832.10","23,289,671,102.30","26,878,499,206.00","34,658,113,497.40","41,574,530,815.50","45,416,076,680.90","50,453,577,898.50","60,093,155,532.80","70,481,451,814.30","62,703,095,750.50","59,665,427,464.50","62,236,751,773.00","56,485,301,967.40","57,769,872,074.90","57,080,369,367.80","48,676,334,689.40"
Cuba,"30,565,400,000.00","31,682,400,000.00","33,590,500,000.00","35,901,200,000.00","38,203,000,000.00","42,643,836,074.80","52,742,800,000.00","58,603,900,000.00","60,806,300,000.00","62,080,000,000.00","64,328,000,000.00","68,990,000,000.00","73,141,000,000.00","77,148,000,000.00","80,656,100,000.00","87,132,800,000.00"
Curacao,,,,,,,,,,,,,,,,
Cyprus,"10,183,317,624.90","10,567,304,189.40","11,618,269,230.80","14,576,896,942.20","17,422,375,000.00","18,703,146,374.80","20,403,713,461.30","24,077,470,572.10","27,839,460,963.80","25,942,622,950.80","25,562,251,655.60","27,427,161,523.50","25,012,206,090.20","24,054,965,480.60","23,308,212,816.80","19,559,942,331.20"
Czech Republic,"61,474,265,134.50","67,375,623,427.50","81,696,651,658.90","99,300,329,682.00","118,976,023,159.70","135,990,215,966.70","155,213,006,072.00","188,818,155,388.10","235,204,812,643.10","205,729,790,694.00","207,016,402,026.40","227,948,349,666.40","207,376,427,020.80","209,402,444,996.10","207,818,330,723.80","185,156,359,571.10"
Denmark,"164,158,800,460.20","164,791,416,350.30","178,635,160,297.40","218,095,997,085.50","251,373,036,671.10","264,467,308,109.20","282,884,912,894.30","319,423,370,134.30","353,361,056,079.70","321,241,396,034.20","321,995,350,346.50","344,003,209,695.60","327,148,899,962.10","343,584,385,594.10","352,296,969,840.90","301,307,828,843.60"
Djibouti,"551,230,861.90","572,417,440.80","591,122,039.60","622,044,665.50","666,072,101.80","708,633,194.70","768,873,684.00","847,918,929.10","999,105,339.30","1,049,110,684.70","1,128,611,700.40","1,239,144,501.80","1,353,632,941.50","1,455,000,000.00","1,588,000,000.00","1,727,000,000.00"
Dominica,"335,845,814.80","343,119,370.40","337,695,740.70","350,091,222.20","374,771,481.50","370,370,370.40","390,370,370.40","421,375,851.90","458,190,185.20","489,074,333.30","493,824,407.40","500,988,407.40","485,905,592.60","508,447,148.10","528,178,703.70","517,218,963.00"
Dominican Republic,"23,996,063,503.00","24,892,521,237.00","26,571,620,978.80","21,277,165,885.70","22,039,232,610.00","34,004,033,803.90","35,952,845,582.50","44,169,678,153.20","48,288,967,303.50","48,376,555,305.70","53,954,579,003.50","57,746,684,847.10","60,613,645,121.40","61,965,942,056.70","65,231,032,303.20","68,102,618,092.10"
