 Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Solomon Islands,"435,103,853.50","400,463,452.10","341,661,643.60","332,738,245.90","375,111,894.90","413,909,879.30","456,705,434.00","516,074,229.00","608,293,860.30","597,765,363.10","671,585,343.20","886,498,370.70","1,025,125,081.60","1,059,695,156.20","1,156,563,122.90","1,129,164,718.80"
Somalia,,,,,,,,,,,,,,"5,352,000,000.00","5,647,000,000.00","5,925,000,000.00"
South Africa,"136,361,854,808.50","121,516,070,204.80","115,482,368,343.70","175,256,916,996.00","228,593,566,165.10","257,772,710,833.00","271,638,484,826.10","299,415,505,152.30","286,769,839,732.70","295,936,485,832.60","375,349,396,273.80","416,418,862,155.90","396,327,771,011.00","366,623,856,821.80","350,850,571,747.10","317,406,594,612.40"
South Sudan,,,,,,,,,"15,550,136,278.90","12,231,362,022.70","15,727,363,443.10","17,826,697,892.30","10,368,813,559.30","13,257,635,694.90","13,282,084,033.90","9,015,221,096.20"
Spain,"595,402,616,546.90","625,975,838,926.20","705,145,868,624.10","906,853,273,137.70","1,069,555,500,372.50","1,157,276,458,152.00","1,264,551,499,184.50","1,479,341,637,010.70","1,634,989,014,208.30","1,499,074,742,984.20","1,431,587,612,302.30","1,488,017,213,511.00","1,335,945,712,662.30","1,361,775,869,855.90","1,375,856,057,716.80","1,192,955,480,686.40"
Sri Lanka,"16,330,814,180.00","15,746,229,581.60","16,536,535,647.10","18,881,765,437.20","20,662,525,941.30","24,406,252,456.50","28,279,814,924.60","32,350,248,410.80","40,713,812,309.70","42,066,217,871.50","56,725,745,039.30","65,292,741,296.50","68,434,399,083.40","74,317,806,754.50","79,356,456,990.30","80,611,989,527.20"
St. Kitts and Nevis,"420,515,112.90","461,078,096.20","483,120,201.30","465,850,733.30","502,561,637.00","543,167,674.40","636,218,025.20","674,008,481.50","738,942,555.60","723,209,111.10","705,015,370.40","753,225,963.00","734,462,666.70","788,163,888.90","847,778,185.20","876,478,555.60"
St. Lucia,"784,159,222.20","743,808,074.10","748,346,592.60","823,837,148.10","893,107,222.20","951,207,370.40","1,062,617,148.10","1,150,526,259.30","1,187,075,814.80","1,180,949,888.90","1,241,892,814.80","1,280,623,888.90","1,298,815,407.40","1,318,052,185.20","1,386,188,629.60","1,431,135,703.70"
St. Martin (French part),,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,"396,270,000.00","430,040,370.40","461,883,444.40","481,806,296.30","521,975,111.10","550,728,666.70","610,930,044.40","651,833,314.80","695,428,851.90","674,922,481.50","681,225,963.00","676,129,407.40","692,933,740.70","721,207,148.10","727,912,814.80","737,683,555.60"
Sudan,"12,257,418,326.10","13,182,979,783.50","14,803,189,092.70","17,646,503,525.20","21,457,470,202.80","26,524,538,565.70","35,822,408,611.60","45,898,948,564.10","54,526,580,231.60","53,150,209,167.90","65,634,109,236.80","67,327,289,319.70","68,125,631,150.30","72,065,940,085.80","82,151,588,418.80","97,156,119,150.00"
Suriname,"892,164,393.90","763,465,550.50","1,078,402,127.70","1,271,196,078.40","1,484,092,538.40","1,793,754,804.70","2,626,380,435.20","2,936,612,021.90","3,532,969,034.60","3,875,409,836.10","4,368,398,047.60","4,422,276,621.80","4,980,000,000.00","5,145,757,575.80","5,240,606,060.60","4,878,731,707.30"
Swaziland,"1,738,100,848.10","1,542,477,355.00","1,432,228,172.70","2,197,612,760.60","2,770,082,815.20","3,178,126,547.90","3,291,353,812.90","3,469,363,931.20","3,294,093,359.60","3,580,417,156.50","4,438,778,553.60","4,820,499,498.20","4,807,282,468.00","4,575,596,300.80","4,486,261,555.30","4,137,638,726.70"
Sweden,"259,802,012,617.10","239,917,320,967.00","263,926,220,332.50","331,108,912,605.30","381,705,425,301.70","389,042,298,376.80","420,032,121,655.70","487,816,328,342.30","513,965,650,650.10","429,657,033,107.70","488,377,689,564.90","563,109,663,291.20","543,880,647,757.40","578,742,001,487.60","573,817,719,109.40","495,694,356,611.60"
Switzerland,"271,659,728,209.40","278,628,772,872.70","301,127,808,995.30","351,982,634,291.20","393,541,693,928.40","407,535,656,039.20","429,195,591,242.60","477,407,802,315.90","551,546,962,699.70","539,528,229,942.10","581,208,562,423.40","696,278,717,728.10","665,054,050,620.80","684,835,034,384.30","702,705,544,908.60","670,789,928,809.90"
Syrian Arab Republic,"19,325,894,913.10","21,099,833,783.50","21,582,248,881.70","21,828,144,686.00","25,086,930,693.10","28,858,965,517.20","33,332,844,574.80","40,405,006,007.20",,,,,,,,
Tajikistan,"860,550,305.80","1,080,774,007.30","1,221,113,780.30","1,554,125,530.80","2,076,148,695.50","2,312,319,579.00","2,830,236,053.80","3,719,497,371.10","5,161,336,170.50","4,979,481,980.40","5,642,178,579.60","6,522,732,202.50","7,633,049,792.10","8,506,674,782.80","9,236,309,138.00","7,853,450,374.00"
Tanzania,"10,185,786,382.80","10,383,560,602.90","10,805,599,892.70","11,659,129,888.80","12,825,801,580.90","16,929,976,600.10","18,610,460,326.50","21,501,741,757.50","27,368,386,358.10","28,573,777,052.50","31,407,908,612.10","33,878,631,649.40","39,087,748,240.40","44,333,456,244.70","48,197,218,326.80","45,628,247,290.50"
Thailand,"126,392,308,497.70","120,296,746,256.60","134,300,851,255.00","152,280,653,543.70","172,895,476,152.60","189,318,499,954.00","221,758,486,880.30","262,942,650,543.80","291,383,081,231.80","281,710,095,724.80","341,105,009,515.30","370,818,747,396.80","397,559,992,407.50","420,528,737,876.70","406,521,561,093.40","399,234,547,137.50"
Timor-Leste,"368,000,000.00","452,000,000.00","444,000,000.00","453,000,000.00","466,000,000.00","491,000,000.00","463,000,000.00","559,000,000.00","694,000,000.00","827,000,000.00","943,000,000.00","1,148,000,000.00","1,293,000,000.00","1,312,000,000.00","1,399,000,000.00","1,441,718,600.00"
Togo,"1,294,250,233.20","1,332,328,999.10","1,474,630,207.10","1,673,690,429.60","1,937,074,572.10","2,115,154,262.00","2,202,809,251.30","2,523,462,557.40","3,163,416,242.10","3,163,000,528.80","3,172,945,644.60","3,756,023,160.00","3,866,617,462.60","4,080,929,201.30","4,482,880,424.30","4,087,628,276.00"
Tonga,"202,363,492.20","181,244,788.50","182,737,040.10","202,543,202.00","229,358,214.80","262,176,133.70","294,137,737.10","300,143,056.90","349,459,648.60","318,151,987.30","369,435,481.40","423,015,938.00","472,441,383.00","449,387,934.00","443,475,142.10","435,430,325.20"
Trinidad and Tobago,"8,154,338,233.00","8,824,873,259.30","9,008,273,720.90","11,305,459,802.10","13,280,275,123.00","15,982,282,462.40","18,369,070,085.40","21,642,304,045.50","27,870,257,894.20","19,175,196,445.80","22,157,948,396.20","25,433,011,405.30","25,694,164,489.20","26,436,221,401.30","26,175,906,133.50","23,559,287,483.90"
Tunisia,"21,473,188,881.60","22,066,101,341.50","23,142,294,436.20","27,453,084,982.50","31,183,139,301.50","32,273,007,553.60","34,378,437,265.20","38,908,069,299.20","44,856,586,316.00","43,454,935,940.20","44,050,929,160.30","45,810,626,509.40","45,044,176,964.00","46,255,308,672.40","47,603,227,896.60","43,156,606,851.50"
Turkey,"272,979,390,595.00","200,254,104,151.50","238,423,907,922.80","311,825,946,795.00","404,776,328,437.60","501,422,832,613.60","552,504,962,256.40","675,754,121,015.00","764,322,933,264.90","644,656,538,878.40","771,876,943,465.60","832,546,462,299.60","873,981,840,596.30","950,595,641,011.80","934,167,774,215.00","859,383,637,728.90"
Turkmenistan,"2,904,662,604.80","3,534,771,968.50","4,462,028,988.70","5,977,440,582.80","6,838,351,088.50","8,104,355,716.90","10,277,598,152.40","12,664,165,103.20","19,271,523,178.80","20,214,385,964.90","22,583,157,894.70","29,233,333,333.30","35,164,210,526.30","39,197,543,859.60","43,524,210,526.30","35,799,628,571.40"
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,"13,742,057.10","13,196,544.90","15,450,994.20","18,231,078.50","21,534,931.60","21,839,098.90","22,902,861.40","27,030,374.00","30,290,219.80","27,101,076.30","31,823,518.60","39,312,016.50","39,875,750.70","38,322,359.50","37,259,689.90","32,673,277.70"
Uganda,"6,193,246,837.10","5,840,503,868.60","6,178,563,590.90","6,336,696,289.00","7,940,362,799.20","9,013,834,373.40","9,942,597,780.00","12,292,813,603.20","14,239,026,629.60","21,203,769,124.70","20,179,411,062.90","20,508,595,015.50","23,516,083,900.40","24,879,053,946.90","27,927,875,335.80","27,856,380,083.20"
Ukraine,"31,261,527,363.10","38,009,344,576.60","42,392,896,031.20","50,132,953,288.20","64,883,060,725.70","86,142,018,069.40","107,753,069,306.90","142,719,009,901.00","179,992,405,832.30","117,227,769,791.60","136,013,155,905.00","163,159,671,670.30","175,781,379,051.40","183,310,146,378.10","133,503,411,375.70","91,030,959,454.70"
United Arab Emirates,"104,337,372,362.20","103,311,640,571.80","109,816,201,497.60","124,346,358,066.70","147,824,370,319.90","180,617,018,379.90","222,116,541,865.20","257,916,133,424.10","315,474,615,738.60","253,547,358,747.40","289,880,430,197.30","350,908,390,046.40","374,817,974,113.50","390,427,289,210.80","403,197,682,887.70","357,949,199,759.60"
United Kingdom,"1,635,441,065,214.10","1,613,034,403,339.60","1,757,571,942,446.00","2,028,488,163,265.30","2,389,004,027,828.60","2,508,103,636,363.60","2,678,277,828,886.80","3,063,005,202,080.80","2,875,463,235,294.10","2,367,127,278,392.30","2,429,680,444,512.60","2,608,824,654,243.60","2,646,002,634,059.60","2,719,509,472,492.70","2,998,833,559,195.70","2,861,090,726,739.60"
United States,"10,284,779,000,000.00","10,621,824,000,000.00","10,977,514,000,000.00","11,510,670,000,000.00","12,274,928,000,000.00","13,093,726,000,000.00","13,855,888,000,000.00","14,477,635,000,000.00","14,718,582,000,000.00","14,418,739,000,000.00","14,964,372,000,000.00","15,517,926,000,000.00","16,155,255,000,000.00","16,691,517,000,000.00","17,393,103,000,000.00","18,036,648,000,000.00"
Uruguay,"22,823,255,801.80","20,898,788,416.60","13,606,494,599.40","12,045,631,092.50","13,686,329,890.10","17,362,857,683.90","19,579,457,966.10","23,410,572,621.50","30,366,213,095.40","31,660,911,290.30","40,284,481,661.90","47,962,439,293.40","51,264,390,121.40","57,531,233,350.90","57,236,013,077.50","53,274,304,214.80"
Uzbekistan,"13,760,374,487.50","11,401,351,420.20","9,687,951,055.20","10,128,112,401.40","12,030,023,547.90","14,307,509,838.80","17,330,833,852.90","22,311,393,927.90","29,549,438,883.80","33,689,223,673.30","39,332,770,928.90","45,915,191,189.30","51,821,573,338.10","57,690,453,460.60","63,067,077,178.50","66,903,804,142.50"
Vanuatu,"272,014,693.10","257,926,881.70","262,603,781.80","314,463,144.00","364,996,869.10","394,962,552.30","439,376,794.10","526,428,309.90","607,958,616.10","610,066,628.70","700,804,286.20","792,149,700.70","781,702,874.10","801,787,555.90","814,954,307.00","742,432,131.00"
"Venezuela, RB","117,140,723,529.40","122,903,960,204.50","92,893,587,733.70","83,620,628,582.10","112,453,382,329.60","145,510,008,134.80","183,477,522,123.90","230,364,012,575.70","315,953,388,510.70","329,787,628,928.50","393,190,682,070.50","316,482,190,800.40","381,286,237,847.70","371,006,299,120.20",,
Vietnam,"33,640,085,738.60","35,291,349,197.40","37,947,904,054.50","42,717,072,869.40","49,424,107,709.90","57,633,255,618.30","66,371,664,817.00","77,414,425,532.20","99,130,304,099.10","106,014,601,171.00","115,931,749,697.20","135,539,487,317.00","155,820,001,920.50","171,222,025,117.40","186,204,652,922.30","193,241,108,709.50"
Virgin Islands (U.S.),,,"3,269,000,000.00","3,453,000,000.00","3,799,000,000.00","4,439,000,000.00","4,504,000,000.00","4,803,000,000.00","4,250,000,000.00","4,203,000,000.00","4,339,000,000.00","4,239,000,000.00","4,095,000,000.00","3,764,000,000.00","3,624,000,000.00","3,765,000,000.00"
West Bank and Gaza,"4,313,600,000.00","4,003,700,000.00","3,555,800,000.00","3,968,000,000.00","4,329,200,000.00","4,831,800,000.00","4,910,100,000.00","5,505,800,000.00","6,673,500,000.00","7,268,200,000.00","8,913,100,000.00","10,465,400,000.00","11,279,400,000.00","12,476,000,000.00","12,715,600,000.00","12,673,000,000.00"
"Yemen, Rep.","9,636,342,274.80","9,854,042,164.70","10,693,278,291.80","11,777,768,086.90","13,873,500,887.60","16,753,769,531.70","19,081,722,875.30","21,656,517,484.30","26,910,851,361.80","25,130,274,124.30","30,906,749,533.20","32,726,417,878.40","35,401,339,869.30","40,415,233,436.20","43,228,583,935.00","37,733,919,936.20"
Zambia,"3,600,683,039.70","4,094,480,988.10","4,193,845,678.20","4,901,839,731.30","6,221,077,674.80","8,331,870,169.10","12,756,858,899.30","14,056,957,976.30","17,910,858,637.90","15,328,342,304.00","20,265,556,273.60","23,460,098,339.70","25,503,370,699.20","28,045,460,442.20","27,150,630,607.20","21,154,394,545.90"
Zimbabwe,"6,689,957,600.00","6,777,384,700.00","6,342,116,400.00","5,727,591,800.00","5,805,598,400.00","5,755,215,200.00","5,443,896,500.00","5,291,950,100.00","4,415,702,800.00","8,366,794,000.00","10,052,045,200.00","12,071,733,500.00","14,058,378,300.00","15,223,528,900.00","15,834,069,900.00","16,072,380,200.00"
